run,pair,baseline_ns,candidate_ns,reps
1,0,77307044,75418311,1000
1,1,77255444,75366391,1000
1,2,76842081,75370191,1000
1,3,76800040,75853875,1000
1,4,79169576,80102303,1000
1,5,90101531,75999595,1000
1,6,78916815,75916115,1000
1,7,76838881,76213277,1000
1,8,77286404,75344031,1000
1,9,78516252,75667113,1000
1,10,76885962,75635753,1000
1,11,76791961,75908074,1000
1,12,76823281,76024196,1000
1,13,77276644,75388031,1000
1,14,76848921,75343711,1000
1,15,76873601,75828874,1000
1,16,76973882,75835635,1000
1,17,77243124,75321430,1000
1,18,77318285,83176404,1000
1,19,76852921,75828514,1000
1,20,76841881,75804834,1000
1,21,76802601,76374838,1000
1,22,77333604,75361271,1000
1,23,77076362,75854075,1000
1,24,76881282,75792754,1000
1,25,76908401,75346751,1000
1,26,77323204,75321631,1000
1,27,77303045,76430678,1000
1,28,76858121,75831834,1000
1,29,77859728,75354351,1000
1,30,77543726,77603646,1000
1,31,98625109,75448712,1000
1,32,79695660,75940435,1000
1,33,76852601,75432912,1000
1,34,77362044,75389872,1000
1,35,78570093,75479751,1000
1,36,76879482,76130316,1000
1,37,76981522,75477792,1000
1,38,77320284,75527512,1000
1,39,77362684,75884155,1000
2,0,76863001,75862595,1000
2,1,76863001,76177757,1000
2,2,77513286,75467071,1000
2,3,76817481,75906435,1000
2,4,76801921,75925875,1000
2,5,76834801,75400871,1000
2,6,77285884,75320551,1000
2,7,77349565,75338311,1000
2,8,76840641,75788314,1000
2,9,76842641,75522792,1000
2,10,77489325,75361431,1000
2,11,77681327,76475238,1000
2,12,76855881,75839074,1000
2,13,76810761,75505711,1000
2,14,77341365,75389151,1000
2,15,77446606,75407351,1000
2,16,76890121,75340111,1000
2,17,76804401,75865034,1000
2,18,77300285,75360271,1000
2,19,77266324,75317790,1000
2,20,76817721,75329031,1000
2,21,76886242,75825594,1000
2,22,76977762,75898234,1000
2,23,77278404,75345951,1000
2,24,76837361,75360431,1000
2,25,76788960,75828674,1000
2,26,76798280,75961475,1000
2,27,77368005,75359390,1000
2,28,76834241,75369551,1000
2,29,76839521,75957195,1000
2,30,76813160,75839035,1000
2,31,76819001,75370071,1000
2,32,77305204,75305711,1000
2,33,76797240,76073756,1000
2,34,76910802,75844794,1000
2,35,76864042,75527112,1000
2,36,85654420,75388472,1000
2,37,78933095,76145596,1000
2,38,79991062,75935155,1000
2,39,76881361,75332671,1000
3,0,76951122,75418671,1000
3,1,76865721,75467232,1000
3,2,76933762,75382551,1000
3,3,76856681,75379231,1000
3,4,77007722,75364391,1000
3,5,76856762,75348150,1000
3,6,76890881,75409991,1000
3,7,76828601,75423312,1000
3,8,77024242,79441339,1000
3,9,81016989,75947915,1000
3,10,79103337,75558512,1000
3,11,76857801,75471552,1000
3,12,76863401,75350511,1000
3,13,76855041,75388952,1000
3,14,76819041,75373671,1000
3,15,76866241,75392071,1000
3,16,76882402,75341831,1000
3,17,76930201,75390511,1000
3,18,76846801,75371631,1000
3,19,76884041,75421831,1000
3,20,76849281,75385991,1000
3,21,76876241,75382751,1000
3,22,76849601,75465472,1000
3,23,77963888,75422032,1000
3,24,76874202,75440871,1000
3,25,76946682,75393991,1000
3,26,76843001,75455592,1000
3,27,76844281,75374991,1000
3,28,76880481,75396152,1000
3,29,76865641,75362071,1000
3,30,77917848,75388752,1000
3,31,76818481,75406751,1000
3,32,76852201,75424551,1000
3,33,76823001,75397151,1000
3,34,76845441,75418511,1000
3,35,76834281,75353911,1000
3,36,77864408,75358711,1000
3,37,76816681,75338911,1000
3,38,76805681,76403478,1000
3,39,76853521,75362831,1000
4,0,77390805,75335831,1000
4,1,77289324,75387911,1000
4,2,76846241,75833035,1000
4,3,76812360,75620753,1000
4,4,77412684,75476352,1000
4,5,76824761,75429432,1000
4,6,76813841,75353991,1000
4,7,77156764,75397151,1000
4,8,76815121,75318870,1000
4,9,76828561,75321590,1000
4,10,76900842,75324431,1000
4,11,76832041,75580992,1000
4,12,76846122,75331150,1000
4,13,76829721,75365631,1000
4,14,76841481,75340351,1000
4,15,76810801,75369231,1000
4,16,76781480,75422472,1000
4,17,76840521,75365031,1000
4,18,76953002,75336271,1000
4,19,76780361,75402471,1000
4,20,76816721,75337391,1000
4,21,76785761,75358391,1000
4,22,76789000,75313871,1000
4,23,76814320,75420352,1000
4,24,76972001,75402352,1000
4,25,76792041,76383158,1000
4,26,76852761,75698073,1000
4,27,76920441,75389432,1000
4,28,77284524,78398772,1000
4,29,76876362,75525752,1000
4,30,77044962,79540620,1000
4,31,76852802,75428551,1000
4,32,80884628,76343158,1000
4,33,76871922,89581887,1000
4,34,76971042,75422751,1000
4,35,76892601,76408999,1000
4,36,76859121,75399792,1000
4,37,76870841,75335311,1000
4,38,76884081,75370911,1000
4,39,76912561,75365552,1000
