step,op,left,right,value
1,S,0,0,2
2,M,1,0,3
3,S,2,2,6
4,S,3,3,12
5,S,4,4,24
6,S,5,5,48
7,S,6,6,96
8,S,7,7,192
9,M,8,2,195
10,S,9,9,390
11,S,10,10,780
12,S,11,11,1560
13,M,12,2,1563
14,M,13,8,1755
15,M,14,8,1947
16,M,14,11,2535
17,M,16,1,2537
18,M,16,12,4095
19,S,18,18,8190
20,S,19,19,16380
21,S,20,20,32760
22,S,21,21,65520
23,S,22,22,131040
24,S,23,23,262080
25,S,24,24,524160
26,S,25,25,1048320
27,S,26,26,2096640
28,S,27,27,4193280
29,S,28,28,8386560
30,S,29,29,16773120
31,M,30,18,16777215
32,S,31,31,33554430
33,S,32,32,67108860
34,S,33,33,134217720
35,S,34,34,268435440
36,S,35,35,536870880
37,S,36,36,1073741760
38,S,37,37,2147483520
39,S,38,38,4294967040
40,S,39,39,8589934080
41,S,40,40,17179868160
42,S,41,41,34359736320
43,S,42,42,68719472640
44,S,43,43,137438945280
45,S,44,44,274877890560
46,S,45,45,549755781120
47,S,46,46,1099511562240
48,S,47,47,2199023124480
49,S,48,48,4398046248960
50,S,49,49,8796092497920
51,S,50,50,17592184995840
52,S,51,51,35184369991680
53,S,52,52,70368739983360
54,S,53,53,140737479966720
55,S,54,54,281474959933440
56,M,55,31,281474976710655
57,S,56,56,562949953421310
58,S,57,57,1125899906842620
59,S,58,58,2251799813685240
60,S,59,59,4503599627370480
61,S,60,60,9007199254740960
62,S,61,61,18014398509481920
63,S,62,62,36028797018963840
64,S,63,63,72057594037927680
65,S,64,64,144115188075855360
66,S,65,65,288230376151710720
67,S,66,66,576460752303421440
68,S,67,67,1152921504606842880
69,S,68,68,2305843009213685760
70,S,69,69,4611686018427371520
71,S,70,70,9223372036854743040
72,S,71,71,18446744073709486080
73,S,72,72,36893488147418972160
74,S,73,73,73786976294837944320
75,S,74,74,147573952589675888640
76,S,75,75,295147905179351777280
77,S,76,76,590295810358703554560
78,S,77,77,1180591620717407109120
79,S,78,78,2361183241434814218240
80,S,79,79,4722366482869628436480
81,S,80,80,9444732965739256872960
82,S,81,81,18889465931478513745920
83,S,82,82,37778931862957027491840
84,S,83,83,75557863725914054983680
85,S,84,84,151115727451828109967360
86,S,85,85,302231454903656219934720
87,S,86,86,604462909807312439869440
88,S,87,87,1208925819614624879738880
89,S,88,88,2417851639229249759477760
90,S,89,89,4835703278458499518955520
91,S,90,90,9671406556916999037911040
92,S,91,91,19342813113833998075822080
93,S,92,92,38685626227667996151644160
94,S,93,93,77371252455335992303288320
95,S,94,94,154742504910671984606576640
96,S,95,95,309485009821343969213153280
97,S,96,96,618970019642687938426306560
98,S,97,97,1237940039285375876852613120
99,S,98,98,2475880078570751753705226240
100,S,99,99,4951760157141503507410452480
101,S,100,100,9903520314283007014820904960
102,S,101,101,19807040628566014029641809920
103,S,102,102,39614081257132028059283619840
104,S,103,103,79228162514264056118567239680
105,M,104,56,79228162514264337593543950335
106,S,105,105,158456325028528675187087900670
107,S,106,106,316912650057057350374175801340
108,S,107,107,633825300114114700748351602680
109,S,108,108,1267650600228229401496703205360
110,S,109,109,2535301200456458802993406410720
111,S,110,110,5070602400912917605986812821440
112,S,111,111,10141204801825835211973625642880
113,S,112,112,20282409603651670423947251285760
114,S,113,113,40564819207303340847894502571520
115,S,114,114,81129638414606681695789005143040
116,S,115,115,162259276829213363391578010286080
117,S,116,116,324518553658426726783156020572160
118,S,117,117,649037107316853453566312041144320
119,S,118,118,1298074214633706907132624082288640
120,S,119,119,2596148429267413814265248164577280
121,S,120,120,5192296858534827628530496329154560
122,S,121,121,10384593717069655257060992658309120
123,S,122,122,20769187434139310514121985316618240
124,S,123,123,41538374868278621028243970633236480
125,S,124,124,83076749736557242056487941266472960
126,S,125,125,166153499473114484112975882532945920
127,S,126,126,332306998946228968225951765065891840
128,S,127,127,664613997892457936451903530131783680
129,S,128,128,1329227995784915872903807060263567360
130,S,129,129,2658455991569831745807614120527134720
131,S,130,130,5316911983139663491615228241054269440
132,S,131,131,10633823966279326983230456482108538880
133,S,132,132,21267647932558653966460912964217077760
134,S,133,133,42535295865117307932921825928434155520
135,S,134,134,85070591730234615865843651856868311040
136,S,135,135,170141183460469231731687303713736622080
137,S,136,136,340282366920938463463374607427473244160
